EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
489	23260141	Mus musculus	Exosomes Mediate Stromal Mobilization of Autocrine Wnt-PCP Signaling in Breast Cancer Cell Migration.	Fibroblasts	ts	Normal-Fibroblasts (L cells)	Protein	Mass spectrometry	2012	-	Exosomes
490	23264574	Francisella novicida	Production of Outer Membrane Vesicles and Outer Membrane Tubes by Francisella novicida.	Francisella novicida 	ts	Normal_early stationary phase-Francisella novicida ATCC 15482	Protein	Mass spectrometry	2012	-	Membrane vesicles
491	23264574	Francisella novicida	Production of Outer Membrane Vesicles and Outer Membrane Tubes by Francisella novicida.	Francisella novicida 	ts	Normal_exponential phase-Francisella novicida ATCC 15482	Protein	Mass spectrometry	2012	-	Membrane vesicles
492	23333927	Homo sapiens	Characterization and proteomic analysis of ovarian cancer-derived exosomes.	Ovarian cancer cells 	cl	IGROV1	Protein	Mass spectrometry	2013	-	Exosomes
493	23333927	Homo sapiens	Characterization and proteomic analysis of ovarian cancer-derived exosomes.	Ovarian cancer cells 	cl	OVCAR-3	Protein	Mass spectrometry	2013	-	Exosomes
494	23344721	Homo sapiens	miR-1289 and Zipcode-like Sequence Enrich mRNAs in Microvesicles.	Glioblastoma cells	cl	Primary glioblastoma multiforme cells (11/5)	mRNA	Microarray	2012	-	Microvesicles
495	23344721	Homo sapiens	miR-1289 and Zipcode-like Sequence Enrich mRNAs in Microvesicles.	Glioblastoma cells	cl	Primary glioblastoma multiforme cells (20/3)	mRNA	Microarray	2012	-	Microvesicles
496	23344721	Homo sapiens	miR-1289 and Zipcode-like Sequence Enrich mRNAs in Microvesicles.	Melanoma cells	cl	Primary malignant melanoma cells (0105)	mRNA	Microarray	2012	-	Microvesicles
497	23344721	Homo sapiens	miR-1289 and Zipcode-like Sequence Enrich mRNAs in Microvesicles.	Melanoma cells	cl	Primary malignant melanoma cells (0664)	mRNA	Microarray	2012	-	Microvesicles
498	23376485	Homo sapiens	Proteomic analysis of podocyte exosome-enriched fraction from normal human urine.	Urine	ts	Normal-Urine	Protein	Mass spectrometry	2013	-	Exosomes/Membrane vesicles
499	23404715	Homo sapiens	Distinct lipid compositions of two types of human prostasomes.	Seminal fluid	ts	100 nm-Seminal fluid	Lipids	Liquid chromatography	2013	-	Prostasomes
500	23404715	Homo sapiens	Distinct lipid compositions of two types of human prostasomes.	Seminal fluid	ts	50 nm-Seminal fluid	Lipids	Liquid chromatography	2013	-	Prostasomes
501	23410224	Neisseria meningitidis	Quantitative proteomics reveals distinct differences in the protein content of outer membrane vesicle vaccines.	Neisseria meningitidis 	ts	Normal-Neisseria meningitidis H44/76 (serogroup B)	Protein	Mass spectrometry	2013	-	Membrane vesicles
502	23436686	Homo sapiens	A comprehensive characterization of membrane vesicles released by autophagic human endothelial cells.	Endothelial cells	ts	Serum-starved-Human umbilical vascular endothelial cells	Protein	Mass spectrometry	2013	-	Membrane vesicles/Extracellular vesicles
503	23459212	Bos taurus	Bovine milk proteome: Quantitative changes in normal milk exosomes, milk fat globule membranes and whey proteomes resulting from Staphylococcus aureus mastitis.	Bovine milk	ts	Staphylococcus aureus-infected-Milk	Protein	Mass spectrometry	2013	-	Exosomes
504	23465879	Homo sapiens	Lipidomic analysis of human placental Syncytiotrophoblast microvesicles in adverse pregnancy outcomes.	Placenta	ts	Normal-Placental basal plate/decidua	Lipids	Mass spectrometry	2013	-	Microvesicles
505	23465879	Homo sapiens	Lipidomic analysis of human placental Syncytiotrophoblast microvesicles in adverse pregnancy outcomes.	Placenta	ts	Preeclampsia-Placental basal plate/decidua	Lipids	Mass spectrometry	2013	-	Microvesicles
506	23465879	Homo sapiens	Lipidomic analysis of human placental Syncytiotrophoblast microvesicles in adverse pregnancy outcomes.	Placenta	ts	Recurrent miscarriage-Placental basal plate/decidua	Lipids	Mass spectrometry	2013	-	Microvesicles
507	23511837	Homo sapiens	Differential protein profiling of renal cell carcinoma urinary exosomes.	Urine	ts	Normal-Urine	Protein	Mass spectrometry	2013	-	Exosomes/Nanovesicles
508	23511837	Homo sapiens	Differential protein profiling of renal cell carcinoma urinary exosomes.	Urine	ts	Renal cell carcinoma patient-Urine	Protein	Mass spectrometry	2013	-	Exosomes/Nanovesicles
509	23521563	Homo sapiens	First identification of Ewing's sarcoma-derived extracellular vesicles and exploration of their biological and potential diagnostic implications.	Ewing's sarcoma cells	cl	A673	mRNA	Microarray	2013	-	Exosomes/Extracellular vesicles
510	23521563	Homo sapiens	First identification of Ewing's sarcoma-derived extracellular vesicles and exploration of their biological and potential diagnostic implications.	Ewing's sarcoma cells	cl	SB-KMS-KS1	mRNA	Microarray	2013	-	Exosomes/Extracellular vesicles
511	23521563	Homo sapiens	First identification of Ewing's sarcoma-derived extracellular vesicles and exploration of their biological and potential diagnostic implications.	Ewing's sarcoma cells	cl	SK-N-MC	mRNA	Microarray	2013	-	Exosomes/Extracellular vesicles
512	23533145	Homo sapiens	In-depth proteomic analyses of exosomes isolated from expressed prostatic secretions in urine.	Urine	ts	Low-grade prostate cancer patient-Expressed prostatic secretions in urine	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles
513	23533145	Homo sapiens	In-depth proteomic analyses of exosomes isolated from expressed prostatic secretions in urine.	Urine	ts	Normal-Expressed prostatic secretions in urine	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles
514	23539611	Homo sapiens	microRNA signature is altered in both human epididymis and seminal microvesicles following vasectomy.	Seminal fluid	ts	Normal-Seminal plasma	miRNA	Microarray	2013	-	Microvesicles
515	23539611	Homo sapiens	microRNA signature is altered in both human epididymis and seminal microvesicles following vasectomy.	Seminal fluid	ts	Vasectomy-Seminal plasma	miRNA	Microarray	2013	-	Microvesicles
516	23539611	Homo sapiens	microRNA signature is altered in both human epididymis and seminal microvesicles following vasectomy.	Seminal fluid	ts	Vasovasostomy-Seminal plasma	miRNA	Microarray	2013	-	Microvesicles
517	23585443	Homo sapiens	Proteome profiling of exosomes derived from human primary and metastatic colorectal cells reveal differential expression of key metastatic factors and signal transduction components.	Colorectal cancer cells	cl	SW480	Protein	Mass spectrometry	2013	-	Exosomes/Membrane vesicles
518	23585443	Homo sapiens	Proteome profiling of exosomes derived from human primary and metastatic colorectal cells reveal differential expression of key metastatic factors and signal transduction components.	Colorectal cancer cells	cl	SW620	Protein	Mass spectrometry	2013	-	Exosomes/Membrane vesicles
519	23585444	Homo sapiens	Identification and characterization of proteins isolated from microvesicles derived from human lung cancer pleural effusions.	Malignant pleural effusions	ts	Non-small cell lung cancer patient-Lung cancer pleural effusion	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles/Ectosomes/Microparticles
520	23601281	Homo sapiens	Proteomic characterization of human platelet-derived microparticles.	Platelets	ts	Platelets purifird from blood	Protein	Mass spectrometry	2013	-	Microparticles
521	23645497	Canis lupus familiaris	Oncogenic H-Ras reprograms Madin-Darby canine kidney (MDCK) cell-derived exosomal proteins following epithelial-mesenchymal transition.	Kidney cells	cl	Normal-Madin-Darby canine kidney cell (MDCK)	Protein	Mass spectrometry	2013	-	Exosomes/Extracellular vesicles
522	23645497	Canis lupus familiaris	Oncogenic H-Ras reprograms Madin-Darby canine kidney (MDCK) cell-derived exosomal proteins following epithelial-mesenchymal transition.	Kidney cells	cl	Ras-transformed MDCK cells (21D1)	Protein	Mass spectrometry	2013	-	Exosomes/Extracellular vesicles
523	23658846	Mus musculus	Immunomodulatory impact of leishmania-induced macrophage exosomes: a comparative proteomic and functional analysis.	Macrophages	cl	Leishmania-infected-Macrophage (J774A.1)	Protein	Mass spectrometry	2013	-	Exosomes
524	23658846	Mus musculus	Immunomodulatory impact of leishmania-induced macrophage exosomes: a comparative proteomic and functional analysis.	Macrophages	cl	LPS-treated-Macrophage (J774A.1)	Protein	Mass spectrometry	2013	-	Exosomes
525	23658846	Mus musculus	Immunomodulatory impact of leishmania-induced macrophage exosomes: a comparative proteomic and functional analysis.	Macrophages	cl	Normal-Macrophage (J774A.1)	Protein	Mass spectrometry	2013	-	Exosomes
526	23660474	Homo sapiens	Heterogeneity in neutrophil microparticles reveals distinct proteome and functional properties.	Neutrophils	ts	Stimulated in fluid phase-Neutrophil	Protein	Mass spectrometry	2013	-	Microparticles
527	23660474	Homo sapiens	Heterogeneity in neutrophil microparticles reveals distinct proteome and functional properties.	Neutrophils	ts	Stimulated in immobile phase-Neutrophil	Protein	Mass spectrometry	2013	-	Microparticles
528	23767874	Homo sapiens	Biochemical and biological characterization of exosomes containing prominin-1/CD133.	Melanoma cells 	cl	Malignant melanoma (FEMX-I)	Lipids	Mass spectrometry	2013	-	Exosomes/Microvesicles
529	23786572	Homo sapiens	Phospholipidomics of Human Blood Microparticles.	Plasma	ts	Normal-Blood	Lipids	Mass spectrometry	2013	-	Microparticles
530	23803555	Bos taurus	Epididymosomes Convey Different Repertoires of MicroRNAs Throughout the Bovine Epididymis.	Epithelial cells	ts	Normal-Caput epithelial cells	miRNA	Microarray	2013	-	Membrane vesicles
531	23803555	Bos taurus	Epididymosomes Convey Different Repertoires of MicroRNAs Throughout the Bovine Epididymis.	Caput luminal fluid	ts	Normal-Caput luminal fluid	miRNA	Microarray	2013	-	Membrane vesicles
532	23803555	Bos taurus	Epididymosomes Convey Different Repertoires of MicroRNAs Throughout the Bovine Epididymis.	Epithelial cells	ts	Normal-Cauda epithelial cells	miRNA	Microarray	2013	-	Membrane vesicles
533	23803555	Bos taurus	Epididymosomes Convey Different Repertoires of MicroRNAs Throughout the Bovine Epididymis.	Cauda luminal fluid	ts	Normal-Cauda luminal fluid	miRNA	Microarray	2013	-	Membrane vesicles
534	23818640	Homo sapiens	Modulation of B-cell exosome proteins by gamma herpesvirus infection.	B cells	cl	EBV- and KSHV-infected B cells (JSC-1, BC1)	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles/Oncosomes/Microparticles
535	23818640	Homo sapiens	Modulation of B-cell exosome proteins by gamma herpesvirus infection.	B cells	cl	EBV-infected B cells (#1, HLJ, IM9, CP)	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles/Oncosomes/Microparticles
536	23818640	Homo sapiens	Modulation of B-cell exosome proteins by gamma herpesvirus infection.	B cells	cl	KSHV-infected B cell (JC, BC3, BCP1, BCBL1)	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles/Oncosomes/Microparticles
537	23818640	Homo sapiens	Modulation of B-cell exosome proteins by gamma herpesvirus infection.	B cells	ts	Normal B cells (BJAB)	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles/Oncosomes/Microparticles
538	23844026	Homo sapiens	Characterization of human thymic exosomes.	Thymus	ts	Normal-Thymus	Protein	Mass spectrometry	2013	-	Exosomes
539	23853596	Trichomonas vaginalis	Trichomonas vaginalis Exosomes Deliver Cargo to Host Cells and Mediate Host∶Parasite Interactions.	Trichomonas vaginalis 	ts	Normal-Trichomonas vaginalis B7RC2	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles
540	23886663	Homo sapiens	LRRK2 Secretion in Exosomes is Regulated by 14-3-3.	Urine	ts	Normal-Urine	Protein	Mass spectrometry	2013	-	Exosomes/Microvesicles
541	23935504	Homo sapiens	A Novel Role for Pro-Coagulant Microvesicles in the Early Host Defense against Streptococcus pyogenes.	Peripheral blood mononucelar cells	ts	Normal-Peripheral blood mononucelar cells	Protein	Mass spectrometry	2013	-	Microvesicles
542	23935504	Homo sapiens	A Novel Role for Pro-Coagulant Microvesicles in the Early Host Defense against Streptococcus pyogenes.	Peripheral blood mononucelar cells	ts	Procoagulant (M1 protein-treated)-Peripheral blood mononucelar cells	Protein	Mass spectrometry	2013	-	Microvesicles
543	23977379	Listeria monocytogenes	Transcription Factor σ(B) Plays an Important Role in the Production of Extracellular Membrane-Derived Vesicles in Listeria monocytogenes.	Listeria monocytogenes 	ts	Normal-Listeria monocytogenes 10403S (wild-type)	Protein	Mass spectrometry	2013	-	Membrane vesicles
544	23977379	Listeria monocytogenes	Transcription Factor σ(B) Plays an Important Role in the Production of Extracellular Membrane-Derived Vesicles in Listeria monocytogenes.	Listeria monocytogenes 	ts	Normal-Listeria monocytogenes 10403S (ΔsigB mutant)	Protein	Mass spectrometry	2013	-	Membrane vesicles
545	23983189	Homo sapiens	Characterization of Multiple Myeloma Vesicles by Label-Free Relative Quantitation.	B cells	cl	MM.1S	Protein	Mass spectrometry	2013	-	Exosomes/Extracellular vesicles/Microvesicles
546	23983189	Homo sapiens	Characterization of Multiple Myeloma Vesicles by Label-Free Relative Quantitation.	B cells	cl	U266	Protein	Mass spectrometry	2013	-	Exosomes/Extracellular vesicles/Microvesicles
547	24009880	Homo sapiens	Characterization of mRNA and microRNA in human mast cell-derived exosomes and their transfer to other mast cells and blood CD34 progenitor cells.	Mast cells	cl	HMC-1	miRNA	Microarray	2012	-	Exosomes/Extracellular vesicles
548	24009880	Homo sapiens	Characterization of mRNA and microRNA in human mast cell-derived exosomes and their transfer to other mast cells and blood CD34 progenitor cells.	Mast cells	cl	HMC1	mRNA	Microarray	2012	-	Exosomes/Extracellular vesicles
549	24009881	Homo sapiens	Quantitative proteomics of extracellular vesicles derived from human primary and metastatic colorectal cancer cells.	Colorectal cancer cells	cl	SW480	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Microvesicles/Ectosomes
550	24009881	Homo sapiens	Quantitative proteomics of extracellular vesicles derived from human primary and metastatic colorectal cancer cells.	Colorectal cancer cells	cl	SW620	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles/Microvesicles/Ectosomes
551	24009886	Homo sapiens	Cellular stress conditions are reflected in the protein and RNA content of endothelial cell-derived exosomes.	Endothelial cells	cl	Stressed (hypoxia, TNF-alpha-induced activation, high glucose and mannose concentrations)-Endothelial cells (HMEC-1)	Protein	Mass spectrometry	2012	-	Exosomes/Extracellular vesicles
552	24009898	Mus musculus	Growth factor stimulation of cardiomyocytes induces changes in the transcriptional contents of secreted exosomes.	Cardiomyocytes	cl	Cardiomyocyte cells (HL-1)	mRNA	Microarray	2013	-	Exosomes/Extracellular vesicles
553	24009898	Mus musculus	Growth factor stimulation of cardiomyocytes induces changes in the transcriptional contents of secreted exosomes.	Cardiomyocytes	cl	PDGFBβ-treated-Cardiomyocyte cells (HL-1)	mRNA	Microarray	2013	-	Exosomes/Extracellular vesicles
554	24009898	Mus musculus	Growth factor stimulation of cardiomyocytes induces changes in the transcriptional contents of secreted exosomes.	Cardiomyocytes	cl	TGFβ-treated-Cardiomyocyte cells (HL-1)	mRNA	Microarray	2013	-	Exosomes/Extracellular vesicles
555	24046871	Homo sapiens	Molecular lipidomics of exosomes released by PC-3 prostate cancer cells.	Prostate cancer cells	cl	PC3	Lipids	Mass spectrometry	2013	-	Exosomes/Microvesicles
